vertex,x,y,theta,near_x,near_y
1501,141.0,139.0,51.292834587967675,108.0,193.0
1502,700.0,361.0,36.85907767375811,667.0,324.0
1503,471.0,446.0,53.59851735358829,533.0,434.0
1504,376.0,494.0,37.696814334183074,326.0,494.0
1505,419.0,283.0,33.422155310750135,437.0,321.0
1506,541.0,166.0,54.873135426762474,547.0,110.0
1507,658.0,302.0,57.00215097013916,593.0,334.0
1508,512.0,81.0,70.60787134454918,509.0,116.0
1509,365.0,437.0,17.31716868861374,362.0,347.0
1510,652.0,149.0,60.63534543703145,685.0,104.0
1511,261.0,209.0,29.072363746323283,295.0,175.0
1512,589.0,525.0,40.64694834502969,652.0,537.0
1513,383.0,284.0,21.462664853203293,426.0,309.0
1514,564.0,392.0,40.787006062569304,628.0,395.0
1515,368.0,293.0,33.92112668954802,419.0,331.0
1516,417.0,370.0,57.28201704924025,370.0,412.0
1517,511.0,424.0,34.03611800534094,537.0,439.0
1518,431.0,232.0,24.815499581312633,383.0,216.0
1519,319.0,311.0,40.17455903450327,369.0,350.0
1520,429.0,406.0,39.65276968245831,463.0,489.0
1521,381.0,506.0,47.20730897920023,406.0,504.0
1522,421.0,305.0,19.471654765678274,362.0,347.0
1523,174.0,115.0,29.904270517511524,172.0,80.0
1524,503.0,93.0,43.64614686467887,427.0,67.0
1525,137.0,241.0,21.85230332344049,182.0,247.0
1526,644.0,367.0,35.63577033903848,667.0,324.0
1527,562.0,180.0,33.40779940534378,578.0,217.0
1528,273.0,440.0,48.0802022054065,331.0,358.0
1529,486.0,77.0,40.22094617998711,545.0,119.0
1530,533.0,151.0,33.58412242761153,578.0,217.0
1531,676.0,416.0,48.866915271909605,667.0,367.0
1532,495.0,523.0,31.37042812707612,425.0,520.0
1533,566.0,145.0,38.42239764665304,499.0,205.0
1534,421.0,314.0,29.129955409491632,467.0,261.0
1535,228.0,376.0,18.984339635945233,186.0,382.0
1536,104.0,327.0,41.53386553188917,158.0,282.0
1537,160.0,103.0,28.743472520710853,231.0,67.0
1538,604.0,121.0,55.42626542481151,582.0,76.0
1539,616.0,128.0,46.490357206892156,645.0,149.0
1540,608.0,316.0,51.837735894856465,608.0,386.0
1541,197.0,278.0,26.24255089764288,169.0,335.0
1542,451.0,166.0,26.46064467351596,434.0,236.0
1543,246.0,273.0,21.274462800658924,276.0,299.0
1544,592.0,448.0,25.639228627251814,545.0,474.0
1545,444.0,408.0,22.31217796015262,487.0,394.0
1546,394.0,101.0,72.87147441082561,428.0,77.0
1547,173.0,463.0,57.86565600452593,163.0,502.0
1548,80.0,223.0,53.144529738347686,142.0,240.0
1549,605.0,538.0,55.83467237171193,557.0,497.0
1550,511.0,444.0,52.47092044621808,539.0,483.0
1551,404.0,375.0,18.52509155757379,309.0,343.0
1552,484.0,414.0,51.85700727073402,485.0,478.0
1553,326.0,147.0,20.969198885933018,352.0,190.0
1554,246.0,506.0,34.95663674126593,320.0,475.0
1555,485.0,509.0,29.563425289689036,501.0,455.0
1556,333.0,204.0,25.573166849231654,275.0,231.0
1557,298.0,417.0,59.75787492302291,370.0,412.0
1558,141.0,320.0,28.916232298256,197.0,278.0
1559,480.0,369.0,31.8969530959312,432.0,394.0
1560,632.0,359.0,45.008127125386295,609.0,397.0
1561,162.0,217.0,27.280749123342893,182.0,247.0
1562,387.0,260.0,75.64030396190024,325.0,275.0
1563,235.0,422.0,53.45347703084798,298.0,419.0
1564,489.0,426.0,53.22005911404424,533.0,434.0
1565,498.0,318.0,41.98055736783668,527.0,254.0
